OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID,"Location (Lat, Long)"
433,BK,Free,BPL,Ulmer Park - Brooklyn Public Library,2602 BATH AVENUE,40.5926531297,-73.9886820957,987393.29094559,155196.131258756,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.5926531297, -73.9886820957)"
434,QU,Free,QPL,Hollis,202-05 HILLSIDE AVENUE,40.7201684296,-73.7623041123,1050138.49288276,201742.701879337,Library,,Hollis,QBPL_WIRELESS,,"Hollis
(40.7201684296, -73.7623041123)"
435,BK,Free,BPL,Flatlands - Brooklyn Public Library,2065 FLATBUSH AVENUE,40.6197681963,-73.9332132562,1002790.96815543,165081.715818256,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6197681963, -73.9332132562)"
436,BK,Free,BPL,Kensington - Brooklyn Public Library,410 DITMAS AVENUE,40.6356942225,-73.9745947088,991301.194875181,170877.946023673,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6356942225, -73.9745947088)"
437,SI,Free,NYPL,Todt Hill-Westerleigh,2550 VICTORY BOULEVARD,40.6095774994,-74.1485024503,943017.288818508,161396.860983253,Library,,Staten Island,NYPL,,"Staten Island
(40.6095774994, -74.1485024503)"
438,QU,Free,QPL,North Hills,57-04 MARATHON PARKWAY,40.7592451348,-73.7318266816,1058543.12305509,216003.911217749,Library,,Little Neck,QBPL_WIRELESS,,"Little Neck
(40.7592451348, -73.7318266816)"
439,QU,Free,QPL,Baisley Park,117-11 SUTPHIN BOULEVARD,40.6803113116,-73.7916786111,1042030.53173651,187200.879257008,Library,Temporary Closing,Jamaica,QBPL_WIRELESS,,"Jamaica
(40.6803113116, -73.7916786111)"
440,QU,Free,QPL,Glendale,78-60 73 PLACE,40.7025766648,-73.8757971089,1018687.73787101,195268.509119093,Library,,Glendale,QBPL_WIRELESS,,"Glendale
(40.7025766648, -73.8757971089)"
441,BX,Free,NYPL,Sedgwick,1701 MARTIN LUTHER KING JR BOULEVARD,40.8494940806,-73.9175775272,1007052.91993333,248781.790215671,Library,,Bronx,NYPL,,"Bronx
(40.8494940806, -73.9175775272)"
442,BK,Free,BPL,Williamsburgh - Brooklyn Public Library,240 DIVISION AVENUE,40.7069304247,-73.9575546134,996018.067987338,196833.151002929,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.7069304247, -73.9575546134)"
443,BK,Free,BPL,Kings Highway - Brooklyn Public Library,2115 OCEAN AVENUE,40.6102566673,-73.9531058487,997270.351900085,161612.833976507,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6102566673, -73.9531058487)"
444,MN,Free,NYPL,Harlem,9 WEST 124 STREET,40.8061604421,-73.9433155984,999942.46827501,232988.107892334,Library,,New York,NYPL,,"New York
(40.8061604421, -73.9433155984)"
445,BX,Free,NYPL,High Bridge,78 WEST 168 STREET,40.8379589117,-73.9235396129,1005407.12401234,244577.600133255,Library,,Bronx,NYPL,,"Bronx
(40.8379589117, -73.9235396129)"
446,QU,Free,QPL,Lefferts,103-34 LEFFERTS BOULEVARD,40.6869072882,-73.8248296985,1032830.87264243,189583.852837503,Library,,Richmond Hill,QBPL_WIRELESS,,"Richmond Hill
(40.6869072882, -73.8248296985)"
447,BK,Free,BPL,Park Slope - Brooklyn Public Library,431 6 AVENUE,40.6682166933,-73.9834274329,988847.445845679,182726.192996427,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6682166933, -73.9834274329)"
448,BX,Free,NYPL,Clason's Point,1215 MORRISON AVENUE,40.8299928753,-73.8750206002,1018836.80778284,241690.718111753,Library,,Bronx,NYPL,,"Bronx
(40.8299928753, -73.8750206002)"
449,QU,Free,QPL,"Ravenswood, Now a Family Literacy Center",35-32 21 STREET,40.7606431176,-73.9364719875,1001849.07502609,216405.901883587,Library,,Long Island City,QBPL_WIRELESS,,"Long Island City
(40.7606431176, -73.9364719875)"
450,QU,Free,QPL,Woodside,54-22 SKILLMAN AVENUE,40.745341713,-73.9097937387,1009245.45098133,210837.593138337,Library,,Woodside,QBPL_WIRELESS,,"Woodside
(40.7453417130, -73.9097937387)"
451,QU,Free,QPL,Hillcrest,187-05 UNION TURNPIKE,40.7292529463,-73.7819089166,1044695.87909609,205038.323897004,Library,,Flushing,QBPL_WIRELESS,,"Flushing
(40.7292529463, -73.7819089166)"
452,BK,Free,BPL,Bushwick - Brooklyn Public Library,340 BUSHWICK AVENUE,40.7045590639,-73.9396184214,1000991.50784358,195972.112042591,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.7045590639, -73.9396184214)"
453,BX,Free,NYPL,Woodstock,761 EAST 160 STREET,40.8206415647,-73.9046288601,1010646.72901867,238273.390956923,Library,,Bronx,NYPL,,"Bronx
(40.8206415647, -73.9046288601)"
454,QU,Free,QPL,Howard Beach,92-06 156 AVENUE,40.6638044606,-73.8417968638,1028140.48897859,181157.891014919,Library,,Howard Beach,QBPL_WIRELESS,,"Howard Beach
(40.6638044606, -73.8417968638)"
455,MN,Free,NYPL,Science Industry And Business,188 MADISON AVENUE,40.7481246964,-73.9830630999,988942.887583926,211839.106883332,Library,,New York,NYPL,,"New York
(40.7481246964, -73.9830630999)"
456,MN,Free,NYPL,Roosevelt Island,524 MAIN STREET,40.7612533724,-73.9501658898,998055.346721172,216625.783005506,Library,,New York,NYPL,,"New York
(40.7612533724, -73.9501658898)"
457,BX,Free,NYPL,Castle Hill,947 CASTLE HILL AVENUE,40.8266092254,-73.8501814579,1025712.89606476,240468.71432218,Library,,Bronx,NYPL,,"Bronx
(40.8266092254, -73.8501814579)"
458,BK,Free,BPL,Bedford - Brooklyn Public Library,496 FRANKLIN AVENUE,40.6818101974,-73.9561085144,996423.5875175,187681.310382754,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6818101974, -73.9561085144)"
459,BX,Free,NYPL,Throg's Neck,3025 CROSS BRONX EXPRESSWAY,40.8229035714,-73.8190936365,1034319.35522975,239134.854129002,Library,,Bronx,NYPL,,"Bronx
(40.8229035714, -73.8190936365)"
460,QU,Free,QPL,Rochdale Village,169-09 137 AVENUE,40.6728752044,-73.7705902161,1047886.74312118,184506.315748513,Library,,Jamaica,QBPL_WIRELESS,,"Jamaica
(40.6728752044, -73.7705902161)"
461,QU,Free,QPL,Ridgewood,20-12 MADISON STREET,40.7051723129,-73.902572375,1011262.71105443,196204.789070666,Library,,Ridgewood,QBPL_WIRELESS,,"Ridgewood
(40.7051723129, -73.9025723750)"
462,QU,Free,QPL,Far Rockaway,1637 CENTRAL AVENUE,40.604772113,-73.7520918927,1053088.26093334,159708.593034342,Library,,Far Rockaway,QBPL_WIRELESS,,"Far Rockaway
(40.6047721130, -73.7520918927)"
463,BK,Free,BPL,Leonard - Brooklyn Public Library,81 DEVOE STREET,40.713644888,-73.9479357128,998683.473089591,199280.871173084,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.7136448880, -73.9479357128)"
464,QU,Free,QPL,South Jamaica,108-41 GUY R BREWER BOULEVARD,40.6955401466,-73.7902273917,1042419.75799217,192750.132922262,Library,,Jamaica,QBPL_WIRELESS,,"Jamaica
(40.6955401466, -73.7902273917)"
465,BK,Free,BPL,Ryder - Brooklyn Public Library,5902 23 AVENUE,40.6159160785,-73.9760404894,990901.89186801,163672.129726678,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6159160785, -73.9760404894)"
466,BK,Free,BPL,Fort Hamilton - Brooklyn Public Library,9424 FOURTH AVENUE,40.6163731106,-74.0313694054,975540.954742178,163839.288185,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6163731106, -74.0313694054)"
467,BX,Free,NYPL,Belmont Library-Enrico Fermi Cultural Center,610 EAST 186 STREET,40.8543469054,-73.8878894289,1015264.13316968,250558.977934256,Library,,Bronx,NYPL,,"Bronx
(40.8543469054, -73.8878894289)"
468,QU,Free,QPL,Broad Channel,16-26 CROSS BAY BOULEVARD,40.6007321052,-73.8200526582,1034220.2071341,158190.630847171,Library,,Broad Channel,QBPL_WIRELESS,,"Broad Channel
(40.6007321052, -73.8200526582)"
469,SI,Free,NYPL,Richmondtown,200 CLARKE AVENUE,40.5665301462,-74.1385338765,945760.325655252,145709.10987851,Library,,Staten Island,NYPL,,"Staten Island
(40.5665301462, -74.1385338765)"
470,MN,Free,NYPL,Stephen A. Schwarzman Building,5 AVENUE & 42 STREET,40.7531840458,-73.9821581041,989193.268972918,213682.440795094,Library,Temporary Closing,New York,NYPL,,"New York
(40.7531840458, -73.9821581041)"
471,MN,Free,NYPL,Hudson Park,66 LEROY STREET,40.7299829146,-74.0053310145,982772.476696417,205229.072859332,Library,,New York,NYPL,,"New York
(40.7299829146, -74.0053310145)"
472,QU,Free,QPL,South Ozone Park,128-16 ROCKAWAY BOULEVARD,40.6747769261,-73.8092618174,1037158.00900126,185173.439742342,Library,,South Ozone Park,QBPL_WIRELESS,,"South Ozone Park
(40.6747769261, -73.8092618174)"
473,QU,Free,QPL,North Forest Park,98-27 METROPOLITAN AVENUE,40.7111856291,-73.8536727785,1024816.906715,198414.481829762,Library,,Forest Hills,QBPL_WIRELESS,,"Forest Hills
(40.7111856291, -73.8536727785)"
474,MN,Free,NYPL,Jefferson Market,425 AVENUE OF AMERICAS,40.7346055255,-73.9991692843,984480.221968591,206913.190882176,Library,,New York,NYPL,,"New York
(40.7346055255, -73.9991692843)"
475,BK,Free,BPL,East Flatbush - Brooklyn Public Library,9612 CHURCH AVENUE,40.6557102014,-73.9149383856,1007851.62010759,178180.751628011,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6557102014, -73.9149383856)"
476,QU,Free,QPL,Ozone Park,92-24 ROCKAWAY BOULEVARD,40.6808618482,-73.8464887284,1026827.92992392,187370.057724416,Library,,Ozone Park,QBPL_WIRELESS,,"Ozone Park
(40.6808618482, -73.8464887284)"
477,BK,Free,BPL,Stone Avenue - Brooklyn Public Library,581 MOTHER GASTON BOULEVARD,40.664453793,-73.9052223115,1010544.04287234,181369.052009925,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6644537930, -73.9052223115)"
478,BK,Free,BPL,Cortelyou - Brooklyn Public Library,1305 CORTELYOU ROAD,40.6408035472,-73.9659650781,993695.610690013,172740.223795176,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6408035472, -73.9659650781)"
479,QU,Free,QPL,Richmond Hill,118-14 HILLSIDE AVENUE,40.700765268,-73.8316254169,1030936.47912151,194629.017944008,Library,,Richmond Hill,QBPL_WIRELESS,,"Richmond Hill
(40.7007652680, -73.8316254169)"
480,MN,Free,NYPL,Epiphany,228 EAST 23 STREET,40.7380871204,-73.9820488896,989224.655065,208182.154223502,Library,,New York,NYPL,,"New York
(40.7380871204, -73.9820488896)"
481,MN,Free,NYPL,Seward Park,192 EAST BROADWAY,40.7144564597,-73.9885372705,987427.705903009,199572.469999343,Library,,New York,NYPL,,"New York
(40.7144564597, -73.9885372705)"
482,BK,Free,BPL,Macon - Brooklyn Public Library,361 LEWIS AVENUE,40.683004902,-73.9348054703,1002331.79978243,188120.254714832,Library,,Brooklyn,BPLUNWIRED,,"Brooklyn
(40.6830049020, -73.9348054703)"
